,Al_Franken,Amy_Klobuchar,Angus_King,Ben_Cardin,Ben_Sasse,Bernie_Sanders,Bill_Cassidy,Bill_Nelson,Bob_Casey_Jr.,Bob_Corker,Bob_Menendez,Brian_Schatz,Catherine_Cortez_Masto,Chris_Coons,Chris_Murphy_(Connecticut_politician),Chris_Van_Hollen,Chuck_Grassley,Chuck_Schumer,Claire_McCaskill,Cory_Booker,Cory_Gardner,Dan_Sullivan_(U.S._Senator),David_Perdue,Dean_Heller,Deb_Fischer,Debbie_Stabenow,Dianne_Feinstein,Dick_Durbin,Ed_Markey,Elizabeth_Warren,Gary_Peters_(politician),Heidi_Heitkamp,Jack_Reed_(politician),James_Lankford,Jeanne_Shaheen,Jeff_Flake,Jeff_Merkley,Jerry_Moran,Jim_Inhofe,Jim_Risch,Joe_Donnelly,Joe_Manchin,John_Barrasso,John_Boozman,John_Cornyn,John_Hoeven,John_McCain,John_N._Kennedy,John_Thune,Johnny_Isakson,Jon_Tester,Joni_Ernst,Kamala_Harris,Kirsten_Gillibrand,Lamar_Alexander,Lindsey_Graham,Lisa_Murkowski,Luther_Strange,Maggie_Hassan,Marco_Rubio,Maria_Cantwell,Mark_Warner,Martin_Heinrich,Mazie_Hirono,Michael_Bennet,Mike_Crapo,Mike_Enzi,Mike_Lee_(U.S._politician)	,Mike_Rounds,Mitch_McConnell,Orrin_Hatch,Pat_Roberts,Pat_Toomey,Patrick_Leahy,Patty_Murray,Rand_Paul,Richard_Blumenthal,Richard_Burr,Richard_Shelby,Rob_Portman,Roger_Wicker,Ron_Johnson_(U.S._politician),Ron_Wyden,Roy_Blunt,Sheldon_Whitehouse,Shelley_Moore_Capito,Sherrod_Brown,Steve_Daines,Susan_Collins,Tammy_Baldwin,Tammy_Duckworth,Ted_Cruz,Thad_Cochran,Thom_Tillis,Tim_Kaine,Tim_Scott,Todd_Young,Tom_Carper,Tom_Cotton,Tom_Udall
2016-04,43087.0,19740.0,13951.0,7733.0,9943.0,1337991.0,5047.0,12413.0,95.0,8403.0,12450.0,7667.0,4653.0,5790.0,10072.0,33189.0,16840.0,50333.0,13323.0,67708.0,8527.0,4499.0,4877.0,4185.0,4760.0,9515.0,46832.0,17401.0,12180.0,160696.0,6128.0,5860.0,6106.0,4928.0,10742.0,7907.0,24060.0,4945.0,10259.0,4933.0,7427.0,8778.0,5029.0,4419.0,18072.0,4365.0,161044.0,55.0,8556.0,7048.0,7912.0,13594.0,36393.0,32458.0,10374.0,36592.0,10964.0,1244.0,11950.0,106018.0,8377.0,19597.0,5495.0,9120.0,11374.0,4005.0,4605.0,,3677.0,38192.0,36014.0,5788.0,22137.0,41565.0,10823.0,54324.0,11446.0,11853.0,9713.0,12295.0,4681.0,10852.0,12469.0,8763.0,6987.0,6404.0,26198.0,4474.0,19470.0,16352.0,19009.0,846753.0,6925.0,6260.0,30793.0,10561.0,11301.0,5523.0,16602.0,8272.0
2016-05,66366.0,16663.0,13341.0,5532.0,78686.0,787078.0,4644.0,11750.0,2146.0,53781.0,9764.0,7618.0,5662.0,5366.0,8809.0,7070.0,12336.0,41958.0,12262.0,56338.0,8882.0,5184.0,6035.0,4923.0,8774.0,7787.0,49830.0,15788.0,12730.0,393792.0,5354.0,6001.0,5233.0,5738.0,9637.0,12124.0,9110.0,3832.0,8639.0,3206.0,7278.0,10741.0,5425.0,4828.0,15533.0,3943.0,201562.0,73.0,12707.0,9919.0,6695.0,51981.0,89298.0,23929.0,10334.0,47487.0,9956.0,1162.0,14367.0,90417.0,7727.0,16585.0,5995.0,8232.0,11629.0,4022.0,3621.0,,3269.0,50503.0,34702.0,6388.0,16411.0,24067.0,10033.0,57217.0,9690.0,9321.0,10684.0,26831.0,4247.0,10516.0,17257.0,8916.0,5269.0,11043.0,39916.0,4160.0,14069.0,12253.0,23157.0,444842.0,6525.0,5864.0,79052.0,20322.0,9511.0,4690.0,34675.0,12893.0
2016-06,53539.0,19394.0,16458.0,7198.0,22201.0,582409.0,4628.0,30518.0,5226.0,21864.0,10698.0,8118.0,6100.0,5608.0,70667.0,6293.0,12515.0,38223.0,13838.0,82596.0,9121.0,6053.0,17800.0,4860.0,5167.0,8343.0,58677.0,16254.0,17312.0,747303.0,5319.0,10033.0,5685.0,5308.0,11321.0,13629.0,8980.0,3713.0,7206.0,3489.0,7829.0,12826.0,4987.0,3818.0,15879.0,4125.0,159027.0,74.0,9094.0,7654.0,7333.0,19169.0,134524.0,26598.0,9817.0,30946.0,9568.0,1211.0,14107.0,66233.0,8107.0,19083.0,6471.0,9748.0,14955.0,3860.0,3342.0,,3520.0,67778.0,40021.0,4369.0,18549.0,21703.0,10047.0,36366.0,13844.0,11152.0,10047.0,17471.0,4007.0,13836.0,9710.0,10043.0,5581.0,7171.0,52477.0,4636.0,25979.0,20845.0,35883.0,91228.0,6287.0,6225.0,150355.0,14019.0,3270.0,5065.0,32148.0,10933.0
2016-07,143641.0,36931.0,16043.0,6656.0,21502.0,684501.0,6895.0,13005.0,8934.0,41705.0,14474.0,10018.0,5157.0,6261.0,18559.0,6038.0,13057.0,41986.0,15493.0,474963.0,8518.0,6823.0,7338.0,4227.0,5034.0,9869.0,38711.0,16113.0,12468.0,495556.0,5178.0,6376.0,5501.0,6103.0,14827.0,28037.0,11242.0,4834.0,10666.0,3632.0,9226.0,8688.0,6502.0,5003.0,17111.0,3619.0,182553.0,75.0,8407.0,7048.0,6206.0,212381.0,52644.0,51287.0,9839.0,23548.0,9863.0,981.0,14435.0,59806.0,8635.0,83729.0,6276.0,11669.0,11137.0,4402.0,3815.0,,3284.0,45679.0,33231.0,5312.0,13838.0,24913.0,11582.0,46214.0,9391.0,10199.0,9941.0,18349.0,4648.0,11956.0,8367.0,9599.0,5102.0,15134.0,55458.0,4990.0,13463.0,16828.0,52752.0,205691.0,6629.0,6866.0,2744532.0,35926.0,8723.0,4994.0,103099.0,9458.0
2016-08,37679.0,10618.0,15773.0,6384.0,11996.0,203070.0,5019.0,9760.0,3764.0,7142.0,7329.0,8960.0,9705.0,5297.0,11094.0,5135.0,12854.0,41053.0,11687.0,49403.0,7080.0,4163.0,6113.0,4158.0,3941.0,6856.0,27974.0,12905.0,8405.0,66370.0,4331.0,5256.0,4460.0,4498.0,9984.0,15602.0,3838.0,5686.0,6472.0,2862.0,5468.0,76862.0,3745.0,3541.0,10623.0,3483.0,244348.0,90.0,5530.0,8323.0,5177.0,13892.0,22678.0,20304.0,8013.0,20345.0,13459.0,876.0,30869.0,52572.0,5995.0,13192.0,4002.0,7697.0,11083.0,3281.0,3753.0,,2637.0,33329.0,26375.0,4182.0,19791.0,19088.0,7980.0,37576.0,10581.0,11438.0,7378.0,18865.0,4023.0,13128.0,7488.0,12766.0,4136.0,6157.0,9136.0,3777.0,46631.0,10100.0,36742.0,75141.0,5857.0,5710.0,235329.0,10672.0,10765.0,4386.0,21891.0,6058.0
2016-09,37181.0,9495.0,10410.0,4803.0,10977.0,221556.0,3856.0,9691.0,3562.0,8985.0,14987.0,5709.0,8988.0,4719.0,8618.0,5615.0,13561.0,43978.0,11318.0,43816.0,5864.0,3819.0,7637.0,4416.0,3544.0,6373.0,27391.0,12683.0,7655.0,165671.0,3738.0,5981.0,5080.0,4086.0,7774.0,16749.0,4626.0,4297.0,8126.0,2729.0,5356.0,24721.0,3782.0,4623.0,12636.0,3399.0,179768.0,92.0,5370.0,8211.0,6823.0,7930.0,27028.0,20527.0,8049.0,22787.0,7704.0,820.0,18865.0,49478.0,5475.0,15158.0,3637.0,6165.0,8870.0,3739.0,2875.0,,2572.0,32162.0,39495.0,3750.0,21986.0,17050.0,6326.0,34082.0,9227.0,16128.0,9134.0,18325.0,3747.0,10111.0,8737.0,22089.0,4785.0,4462.0,9912.0,3272.0,12059.0,8659.0,28422.0,94849.0,5304.0,5924.0,268018.0,16590.0,9718.0,3789.0,10745.0,5461.0
2016-10,82315.0,18993.0,16748.0,7113.0,34812.0,339914.0,5382.0,14424.0,6490.0,9845.0,13426.0,10214.0,25456.0,6582.0,11126.0,13957.0,22150.0,82801.0,19835.0,59325.0,10992.0,6590.0,8225.0,6031.0,9334.0,9090.0,42054.0,23229.0,12259.0,175807.0,5739.0,7867.0,6386.0,7473.0,15357.0,16931.0,6328.0,7205.0,10221.0,4153.0,8233.0,12423.0,4896.0,7815.0,18796.0,5509.0,249645.0,110.0,13439.0,20313.0,7469.0,13315.0,152838.0,37004.0,10923.0,31946.0,14851.0,935.0,69912.0,94614.0,9290.0,22381.0,5856.0,10773.0,23561.0,11564.0,5564.0,,3573.0,57624.0,51081.0,5165.0,59411.0,28335.0,18945.0,59378.0,17546.0,37227.0,13953.0,34024.0,4967.0,21428.0,17037.0,39376.0,5185.0,7677.0,14841.0,4407.0,17022.0,15541.0,150326.0,114750.0,7615.0,8644.0,688354.0,25326.0,17678.0,5115.0,33349.0,6507.0
2016-11,80817.0,42627.0,33590.0,16648.0,28154.0,843572.0,8444.0,22321.0,11752.0,85585.0,21842.0,16301.0,66824.0,10086.0,22050.0,31520.0,25242.0,214398.0,25482.0,184539.0,15399.0,7984.0,12544.0,13264.0,8876.0,20123.0,77245.0,38906.0,20947.0,439831.0,10555.0,17712.0,7565.0,16427.0,23253.0,22469.0,13155.0,10529.0,19130.0,5463.0,14745.0,34788.0,9029.0,9084.0,27201.0,8774.0,367926.0,4885.0,12099.0,22858.0,14988.0,19270.0,577075.0,85575.0,18644.0,51210.0,21439.0,2506.0,138952.0,163754.0,14298.0,26964.0,10933.0,26601.0,29214.0,9521.0,6655.0,,4632.0,249195.0,83404.0,7422.0,54939.0,49498.0,26068.0,102940.0,23600.0,43640.0,30142.0,35376.0,8155.0,30485.0,20391.0,37793.0,8910.0,12138.0,54143.0,6940.0,27856.0,31298.0,270911.0,226993.0,11487.0,11946.0,409893.0,40454.0,36432.0,8581.0,63648.0,9764.0
2016-12,42004.0,21692.0,15990.0,11177.0,12596.0,201169.0,7755.0,17069.0,7146.0,30836.0,12516.0,9636.0,14548.0,9977.0,19425.0,12710.0,12179.0,86133.0,15197.0,63924.0,9407.0,6051.0,7121.0,7845.0,6118.0,10483.0,45227.0,19627.0,11899.0,116614.0,7038.0,42474.0,9719.0,7359.0,10058.0,11227.0,7916.0,4350.0,11156.0,4651.0,9087.0,36134.0,6340.0,4719.0,15761.0,7228.0,192397.0,4752.0,8381.0,7133.0,10293.0,12612.0,93674.0,39792.0,13230.0,53067.0,10479.0,2330.0,22512.0,44991.0,12868.0,15453.0,7476.0,12231.0,9211.0,4898.0,4538.0,,3904.0,129770.0,47232.0,5478.0,13659.0,23066.0,10088.0,45465.0,12593.0,12122.0,10197.0,18623.0,5135.0,10261.0,11324.0,11232.0,6480.0,8892.0,24220.0,7737.0,20462.0,14953.0,46245.0,79098.0,7791.0,7954.0,55123.0,19688.0,9034.0,6912.0,18843.0,7538.0
2017-01,256796.0,51157.0,41267.0,32940.0,36147.0,351319.0,23051.0,34817.0,24057.0,39413.0,45059.0,17353.0,36670.0,21029.0,48644.0,26602.0,34183.0,370131.0,39185.0,319188.0,27866.0,11422.0,21299.0,17726.0,13704.0,28408.0,113225.0,53962.0,28112.0,374037.0,13124.0,19410.0,18270.0,16813.0,30980.0,26296.0,21649.0,7764.0,18309.0,13042.0,20478.0,38719.0,15566.0,7825.0,38307.0,8892.0,338850.0,166.0,15777.0,23197.0,15905.0,22358.0,297840.0,116441.0,49017.0,129713.0,23353.0,3576.0,73728.0,95002.0,24785.0,39877.0,17799.0,30556.0,25410.0,13760.0,15143.0,,6892.0,217129.0,125412.0,17711.0,27724.0,63113.0,44252.0,96815.0,37853.0,26258.0,25869.0,26336.0,10778.0,17232.0,37939.0,58081.0,24106.0,13323.0,38565.0,9565.0,65033.0,36179.0,91490.0,140028.0,14026.0,20513.0,101278.0,43192.0,29825.0,15226.0,81149.0,13926.0
